기관명,지역,프로그램명,종목,기준일,정원,신청인원,대기인원,시연데이터
온조대왕문화체육관,서울,힐링요가,체조,2026-05-01,50,12,0,true
온조대왕문화체육관,서울,힐링요가,체조,2026-06-01,50,17,0,true
온조대왕문화체육관,서울,힐링요가,체조,2026-07-01,50,15,0,true
온조대왕문화체육관,서울,힐링요가,체조,2026-08-01,50,21,0,true
온조대왕문화체육관,서울,힐링요가,체조,2026-09-01,50,18,0,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-04-01,25,24,0,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-05-01,25,25,4,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-06-01,25,26,4,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-07-01,25,29,5,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-08-01,25,27,3,true
열린금호교육문화관체육관,서울,라인댄스09C(중급),댄스스포츠,2026-09-01,25,27,4,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-04-01,20,16,0,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-05-01,20,15,0,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-06-01,20,17,0,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-07-01,20,16,0,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-08-01,20,17,0,true
강남스포츠문화센터체육관,서울,다이어트 댄스,댄스스포츠,2026-09-01,20,18,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-04-01,30,19,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-05-01,30,23,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-06-01,30,25,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-07-01,30,24,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-08-01,30,25,0,true
분당야탑청소년수련관체육관,경기,(성인)줌바댄스(화/목)13시,댄스스포츠,2026-09-01,30,28,0,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-04-01,22,20,0,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-05-01,22,21,0,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-06-01,22,22,1,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-07-01,22,22,2,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-08-01,22,24,4,true
기장생활체육센터,부산,"[2025년] 09시 줌바(화,목)",댄스스포츠,2026-09-01,22,24,4,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-04-01,15,6,0,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-05-01,15,5,0,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-06-01,15,7,0,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-07-01,15,7,0,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-08-01,15,8,0,true
미추홀구 국민체육센터,인천,10시 줌바댄스,댄스스포츠,2026-09-01,15,7,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-04-01,35,25,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-05-01,35,26,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-06-01,35,28,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-07-01,35,28,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-08-01,35,34,0,true
은평구민체육센터,서울,골프(월수금16시),골프,2026-09-01,35,34,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-04-01,45,28,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-05-01,45,29,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-06-01,45,32,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-07-01,45,25,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-08-01,45,33,0,true
이문체육문화센터,서울,골프(GDR)-1부[주7일](06~10시),골프,2026-09-01,45,32,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-04-01,45,31,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-05-01,45,35,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-06-01,45,35,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-07-01,45,37,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-08-01,45,32,0,true
신도림생활체육관,서울,18 골프정기권_A,골프,2026-09-01,45,38,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-04-01,45,18,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-05-01,45,21,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-06-01,45,22,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-07-01,45,21,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-08-01,45,23,0,true
조원생활스포츠센터,서울,19시 골프연습,골프,2026-09-01,45,27,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-04-01,60,32,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-05-01,60,37,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-06-01,60,39,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-07-01,60,39,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-08-01,60,44,0,true
광진구민체육센터,서울,골프 20-A,골프,2026-09-01,60,44,0,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-04-01,12,9,0,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-05-01,12,14,4,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-06-01,12,14,3,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-07-01,12,14,3,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-08-01,12,14,6,true
다락원체육공원 실내체육관(테니스장),서울,09시_테니스개인레슨3(박성진),테니스,2026-09-01,12,14,3,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-04-01,40,15,0,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-05-01,40,15,0,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-06-01,40,20,0,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-07-01,40,22,0,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-08-01,40,22,0,true
계남근린공원테니스장,서울,평일B(화금 배상윤)09:00,테니스,2026-09-01,40,24,0,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-04-01,40,34,0,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-05-01,40,34,0,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-06-01,40,35,0,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-07-01,40,37,0,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-08-01,40,42,5,true
아차산배수지체육공원테니스장,서울,"월,금 오전F",테니스,2026-09-01,40,42,6,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-04-01,20,6,0,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-05-01,20,6,0,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-06-01,20,8,0,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-07-01,20,9,0,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-08-01,20,9,0,true
올림픽기념국민생활관,경기,"올림픽테니스(화,금)08:00",테니스,2026-09-01,20,8,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-04-01,20,16,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-05-01,20,14,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-06-01,20,17,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-07-01,20,16,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-08-01,20,19,0,true
올림픽기념국민생활관,부산,테니스 H,테니스,2026-09-01,20,18,0,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-04-01,40,36,0,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-05-01,40,37,0,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-06-01,40,43,6,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-07-01,40,42,6,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-08-01,40,44,8,true
올림픽기념국민생활관,인천,(20)배드민턴 3부_주5회,배드민턴,2026-09-01,40,45,8,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-04-01,45,27,0,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-05-01,45,30,0,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-06-01,45,36,0,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-07-01,45,32,0,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-08-01,45,33,0,true
서재문화체육센터 배드민턴장,대구,오전배드민턴,배드민턴,2026-09-01,45,36,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-04-01,25,4,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-05-01,25,5,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-06-01,25,5,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-07-01,25,9,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-08-01,25,7,0,true
김천국민체육센터,경북,배드민턴_월수금(오후),배드민턴,2026-09-01,25,10,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-04-01,15,5,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-05-01,15,6,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-06-01,15,7,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-07-01,15,7,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-08-01,15,8,0,true
천안시실내배드민턴장,충남,배드민턴수금21시A반,배드민턴,2026-09-01,15,7,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-04-01,60,37,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-05-01,60,38,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-06-01,60,42,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-07-01,60,40,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-08-01,60,45,0,true
다락원체육공원 실내체육관(배드민턴장),서울,11시_화목_개인레슨2(양성규),배드민턴,2026-09-01,60,50,0,true
거제국민체육센터,경남,헬스,보디빌딩,2026-04-01,12,14,5,true
거제국민체육센터,경남,헬스,보디빌딩,2026-05-01,12,14,3,true
거제국민체육센터,경남,헬스,보디빌딩,2026-06-01,12,14,6,true
거제국민체육센터,경남,헬스,보디빌딩,2026-07-01,12,9,0,true
거제국민체육센터,경남,헬스,보디빌딩,2026-08-01,12,14,5,true
거제국민체육센터,경남,헬스,보디빌딩,2026-09-01,12,14,3,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-04-01,45,16,0,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-05-01,45,19,0,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-06-01,45,17,0,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-07-01,45,24,0,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-08-01,45,24,0,true
충주국민체육센터수영장,충북,월정기 헬스,보디빌딩,2026-09-01,45,22,0,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-04-01,60,57,0,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-05-01,60,57,0,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-06-01,60,58,0,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-07-01,60,63,4,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-08-01,60,63,6,true
영등포제2스포츠센터,서울,"오후헬스교실(평일12시~18시이용,주말동일)",보디빌딩,2026-09-01,60,61,2,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-04-01,25,8,0,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-05-01,25,7,0,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-06-01,25,8,0,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-07-01,25,11,0,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-08-01,25,11,0,true
신림체육센터,서울,헬스(청소년),보디빌딩,2026-09-01,25,10,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-04-01,35,30,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-05-01,35,30,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-06-01,35,30,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-07-01,35,33,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-08-01,35,32,0,true
군포국민체육센터,경기,[헬스](성인/청소년),보디빌딩,2026-09-01,35,36,4,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-04-01,22,8,0,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-05-01,22,11,0,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-06-01,22,11,0,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-07-01,22,12,0,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-08-01,22,12,0,true
부산 올림픽기념국민생활관,부산,탁구 K,탁구,2026-09-01,22,14,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-04-01,32,15,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-05-01,32,16,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-06-01,32,18,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-07-01,32,20,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-08-01,32,21,0,true
중구국민체육센터 다목적체육관,인천,4부/2번코트,탁구,2026-09-01,32,21,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-04-01,18,6,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-05-01,18,4,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-06-01,18,7,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-07-01,18,5,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-08-01,18,6,0,true
서재문화체육센터,대구,초급오후탁구레슨(주3회),탁구,2026-09-01,18,8,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-04-01,15,5,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-05-01,15,4,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-06-01,15,6,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-07-01,15,6,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-08-01,15,7,0,true
포항국민체육센터,경북,(※!추첨제)탁구초급반,탁구,2026-09-01,15,7,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-04-01,25,14,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-05-01,25,15,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-06-01,25,18,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-07-01,25,19,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-08-01,25,17,0,true
양천구민체육센터,서울,어린이탁구A,탁구,2026-09-01,25,21,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-04-01,35,13,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-05-01,35,16,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-06-01,35,15,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-07-01,35,17,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-08-01,35,21,0,true
관악구민종합체육센터,서울,스쿼시B(10)초급,스쿼시,2026-09-01,35,20,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-04-01,32,20,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-05-01,32,19,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-06-01,32,23,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-07-01,32,22,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-08-01,32,27,0,true
성동구민종합체육센터,서울,스쿼시11토,스쿼시,2026-09-01,32,24,0,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-04-01,12,4,0,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-05-01,12,14,4,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-06-01,12,14,4,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-07-01,12,14,6,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-08-01,12,14,3,true
송파구체육문화회관체육관,서울,강습스쿼시 11시 주2회(화목),스쿼시,2026-09-01,12,14,4,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-04-01,24,17,0,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-05-01,24,17,0,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-06-01,24,20,0,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-07-01,24,22,0,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-08-01,24,21,0,true
성북종합레포츠타운체육관,서울,<스쿼시>06시B(토:자유),스쿼시,2026-09-01,24,20,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-04-01,15,5,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-05-01,15,5,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-06-01,15,6,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-07-01,15,7,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-08-01,15,8,0,true
탄천스포츠센터,경기,"[17시] 청소년어린이_스쿼시(화,목)",스쿼시,2026-09-01,15,9,0,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-04-01,30,27,0,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-05-01,30,26,0,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-06-01,30,29,0,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-07-01,30,32,4,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-08-01,30,32,3,true
오정레포츠센터,경기,농구(수)-초1~4학년,농구,2026-09-01,30,30,4,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-04-01,25,21,0,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-05-01,25,21,0,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-06-01,25,21,0,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-07-01,25,23,0,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-08-01,25,25,3,true
부산한마음스포츠센터,부산,일반체육 초중등농구교실,농구,2026-09-01,25,25,1,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-04-01,20,7,0,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-05-01,20,7,0,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-06-01,20,8,0,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-07-01,20,10,0,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-08-01,20,11,0,true
서울숲복합문화센터,서울,집중성인농구09토,농구,2026-09-01,20,10,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-04-01,15,10,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-05-01,15,10,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-06-01,15,10,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-07-01,15,11,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-08-01,15,12,0,true
사당종합체육관,서울,"여성농구금20:30/여성(성인,청소년) 주1회_청소년농구(1개월)",농구,2026-09-01,15,13,0,true
성동구민종합체육센터,서울,성인농구18B게임반,농구,2026-04-01,30,22,0,true
성동구민종합체육센터,서울,성인농구18B게임반,농구,2026-05-01,30,24,0,true
성동구민종합체육센터,서울,성인농구18B게임반,농구,2026-06-01,30,22,0,true
성동구민종합체육센터,서울,성인농구18B게임반,농구,2026-07-01,30,27,0,true
