grade_code,course_type,eligibility,acquisition_process,submitted_documents
LSC1,일반과정,① 해당 자격 종목의 2급 생활스포츠지도사 자격을 취득한 후3년 이상 해당 자격 종목의 지도경력이 있는 사람,"-필기
-실기-구술
-연수(120)","ㆍ지도 경력증명서(3년이상)  * 근무 기관 자체 서류 발급 불가 시 홈페이지 자료실 양식 활용 가능
ㆍ근무기관 사업자등록증 사본(종목에 해당 자격 종목의 명칭이 없을 경우 ‘체육시설업 신고증명서’ 추가 제출, 시설이 폐업한 경우 ‘폐업사실증명’ 제출) 또는 공공체육시설 확인서(홈페이지 자료실)
ㆍ해당 종목 2급 생활스포츠지도사 자격증 사본"
LSC1,특별과정,"② 학교체육교사(학교체육교사였던 사람을 포함)로서 초·중등교육법 별표2에 따른 중등학교 정교사(1급·2급) 또는 준교사 자격(체육과목)을 가지고, 같은 법 제2조에 따른 학교에서 체육교사로 재직하면서 해당 자격 종목의 지도경력이 3년 이상일 것","-실기-구술
-연수(40)","* 아래 3개 서류 모두 제출 필요 *
ㆍ교사재직증명서 또는 학교장 발급 교사경력증명서
ㆍ중등학교 정교사 또는 준교사 체육과목 자격증 사본
ㆍ학교장 발급 지도경력증명서(3년 이상)"
LSC1,특별과정,"③ 국가대표선수(국가대표선수였던 사람을 포함)로서 해당 자격종목의 국가대표선수로 국제올림픽위원회, 아시아올림픽평의회, 종목별 국제연맹, 종목별 아시아연맹에서 주최하는 국제대회 중 어느 하나에 참가한 경력이 있을 것",-연수(40),"ㆍ국가대표선수 확인서
ㆍ해당 국제대회참가 확인서"
LSC1,특별과정,④ 문화체육관광부장관이 지정하는 프로스포츠단체에 등록된 프로스포츠선수(프로스포츠선수였던 사람을 포함)로서 해당 자격 종목의 프로스포츠단체 선수경력이 3년 이상 일 것,-구술-연수(40),문체부 장관 지정 프로스포츠단체 발급 해당종목 프로스포츠선수 경력증명서(3년이상)
LSC1,특별과정,"⑤ 해당 자격 종목의1급 전문스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람
* 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)","-구술
-스포츠윤리교육",-
LSC1,특별과정,⑥ 해당 자격 종목의 2급 전문스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,"-필기-구술
-연수(40)",-
LSC1,추가취득,"⑦ 1급 생활스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
* 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)","-실기-구술
-스포츠윤리교육",-
LSC2,일반과정,① 18세 이상인 사람,"-필기
-실기-구술
-연수(90)",-
LSC2,특별과정,② 해당 자격종목의 유소년 또는 노인 스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,"-구술
-연수(40)",-
LSC2,특별과정,"③ 2급 장애인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제3호의 비고에서 다른 종목으로 보는 경우를 포함)의 자격을 취득하려는 사람
* 장애인스포츠지도사가 생활, 유소년 또는 노인스포츠지도사 자격을 취득하려는 경우 보유한 자격 종목명과 취득하려는 자격종목명이 같은 경우 다른 종목으로 본다.","-실기-구술
-연수(40)",-
LSC2,특별과정,④ 유소년 또는 노인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람,"-실기-구술
-연수(40)",-
LSC2,추가취득,"⑤ 2급 생활스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
* 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)",-실기-구술,-
HEXM,일반과정,"① 「고등교육법」 제2조에 따른 학교에서 체육분야에 관한 학문을 전공하고 졸업한 사람(졸업예정자 포함)이거나 법령에 따라 이와 같은 수준의 학력이 있다고 인정되는 사람
- 체육 분야 전문학사, 학사, 석·박사",-필기,"졸업자: 체육분야 전문학사 이상 졸업(학위)증명서
졸업예정자: 체육분야 전문학사 이상 졸업(학위수여)예정증명서 또는 최종학년 재학증명서
*전문학사 이상: 전문학사·학사·석사·박사
*석사·박사 졸업예정자는 재학증명서 불인정
*졸업(학위수여)예정증명서 또는 재학증명서 제출 시 제출일 기준 다음년도 2.28.까지 졸업(학위)증명서를 제출해야함. 미제출 시 자격검정 및 연수 불합격처리(수수료 및 연수비 환불 불가)"
HEXM,일반과정,② 문화체육관광부장관이 인정하는 「고등교육법」 제2조에 해당하는 외국의 학교(학제 또는 교육과정으로 보아 「고등교육법」 제2조에 따른 학교와 같은 수준이거나 그 이상인 학교를 말한다)에서 체육 분야에 관한 학문을 전공하고 졸업한 사람,-필기,문화체육관광부 장관 인정 외국학교 체육분야 전문학사 이상 졸업증명서
YUSC,일반과정,① 18세 이상인 사람,"-필기-실기-구술
-연수(90)",-
YUSC,특별과정,"② 학교체육교사(학교체육교사였던 사람을 포함)로서 초·중등교육법 별표2에 따른 중등학교 정교사(1급·2급) 또는 준교사 자격(체육과목)을 가지고, 같은 법 제2조에 따른 학교에서 체육교사로 재직하면서 해당 자격 종목의 지도경력이 3년 이상일 것","-실기-구술
-연수(40)","* 아래 3개 서류 모두 제출 필요 *
ㆍ교사재직증명서 또는 학교장 발급 교사경력증명서
ㆍ중등학교 정교사 또는 준교사 체육과목 자격증 사본
ㆍ학교장 발급 지도경력증명서(3년 이상)"
YUSC,특별과정,③ 해당 자격 종목의 전문 또는 생활 스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,-구술-연수(40),-
YUSC,특별과정,④ 해당 자격 종목의 노인스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,-구술-연수(40),-
YUSC,특별과정,⑤ 2급 생활스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람,"-실기-구술
-연수(40)",-
YUSC,특별과정,"⑥ 2급 장애인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제3호의 비고에서 다른 종목으로 보는 경우를 포함)의 자격을 취득하려는 사람
* 장애인스포츠지도사가 생활, 유소년 또는 노인스포츠지도사 자격을 취득하려는 경우 보유한 자격 종목명과 취득하려는 자격종목명이 같은 경우 다른 종목으로 본다.","-실기-구술
-연수(40)",-
YUSC,특별과정,⑦ 노인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람,"-실기-구술
-연수(40)",-
YUSC,추가취득,"⑧ 유소년스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
* 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)","-실기-구술
-스포츠윤리교육",-
OLSC,일반과정,① 18세 이상인 사람,"-필기-실기-구술
-연수(90)",-
OLSC,특별과정,② 해당 자격 종목의 전문스포츠지도사 또는 생활스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,"-구술
-연수(40)",-
OLSC,특별과정,③ 해당 자격 종목의 유소년스포츠지도사 자격을 가지고 동일한 종목의 자격을 취득하려는 사람,"-구술
-연수(40)",-
OLSC,특별과정,④ 2급 생활스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람,"-실기-구술
-연수(40)",-
OLSC,특별과정,"⑤ 2급 장애인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제3호의 비고에서 다른 종목으로 보는 경우를 포함)의 자격을 취득하려는 사람
* 장애인스포츠지도사가 생활, 유소년 또는 노인스포츠지도사 자격을 취득하려는 경우 보유한 자격 종목명과 취득하려는 자격종목명이 같은 경우 다른 종목으로 본다.","-실기-구술
-연수(40)",-
OLSC,특별과정,⑥ 유소년스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람,"-실기-구술
-연수(40)",-
OLSC,추가취득,"⑦ 노인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
* 스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)",-실기-구술,-
DSC1,일반과정,"① 해당 자격 종목의 2급 장애인스포츠지도사 자격을 취득한 후
3년 이상 해당 자격 종목의 지도경력이 있는 사람","-필기
-실기-구술
-연수(250)","ㆍ지도 경력증명서(3년이상)  * 근무 기관 자체 서류 발급 불가 시 홈페이지 자료실 양식 활용 가능
ㆍ근무기관 사업자등록증 사본(종목에 해당 자격 종목의 명칭이 없을 경우 ‘체육시설업 신고증명서’ 추가 제출, 시설이 폐업한 경우 ‘폐업사실증명’ 제출) 또는 공공체육시설 확인서(홈페이지 자료실)
ㆍ지도자등록확인서(경기지도경력증명서 제출자)
ㆍ해당 종목 2급 장애인스포츠지도사 자격증 사본"
DSC1,특별과정,"② 국가대표선수(국가대표선수였던 사람 포함)로서 다음 요건을 모두 갖춘 사람
- 해당 자격 종목의 국가대표선수로 국제장애인올림픽위원회, 아시아장애인올림픽위원회, 국제스포츠연맹, 국제장애인올림픽위원회스포츠연맹, 국제장애유형별 스포츠연맹에서 주최하는 국제대회 중 어느 하나에 참가한 경력이 있을 것
- 해당 자격 종목의 2급 장애인스포츠지도사로 3년 이상의 경기지도경력이 있을 것",-연수(250),ㆍ국가대표 선수 확인서
DSC2,일반과정,① 18세 이상 응시 가능,"–필기–실기–구술
–연수(90)",-
DSC2,특별과정,② 학교체육교사(학교체육교사였던 사람을 포함)로서 초·중등교육법 별표2에 따른 중등학교 정교사(1급·2급) 또는 준교사 자격(체육과목)이나 특수학교 정교사 또는 준교사 자격을 가지고 장애인 등에 대한 특수교육법 제2조제10호에 따른 특수 교육기관에서 체육교사로 재직하면서 해당 자격 종목의 지도경력이 3년 이상일 것,"–실기–구술
–연수(40)","* 아래 3개 서류 모두 제출 필요 *
ㆍ교사재직증명서 또는 학교장 발급
교사경력증명서
ㆍ중등학교 정(준)교사(체육 과목) 또는
특수학교 정(준)교사 자격증 사본
ㆍ특수교육기관 학교장 발급 지도 경력증명서
(3년 이상, 홈페이지자료실)
* 특수교육기관에서 체육교사 재직을
증빙할 수 있는 자료"
DSC2,특별과정,"③ 국가대표선수(국가대표선수였던 사람을 포함)
로서 해당 자격 종목의 국가대표선수로 국제장애인올림픽위원회,
아시아장애인 올림픽위원회, 국제스포츠연맹, 국제장애인올림픽
위원회스포츠연맹, 국제장애유형별스포츠연맹에서 주최하는
국제대회 중 어느 하나에 참가한 경력이 있을 것","–구술
–연수(40)",국가대표선수 확인서 및 해당 국제대회참가 확인서
DSC2,특별과정,"④ 2급 생활스포츠지도사 자격을 가지고 보유한
자격 종목이 아닌 다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제2호의 비고에 따라 종목명이 같은 경우에도 다른 종목으로 취급함)의 자격을 취득하려는 사람
*필기시험 1과목(특수체육론) 20분 실시","필기1과목
(특수체육론)
–실기–구술
–연수(40)",-
DSC2,특별과정,"⑤ 유소년스포츠지도사 자격을 가지고 보유한 자격 종목이
아닌 다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제4호의 비고에 따라 종목명이 같은 경우에도 다른 종목으로 취급함)의 자격을 취득하려는 사람
*필기시험 1과목(특수체육론) 20분 실시","필기1과목
(특수체육론)
–실기–구술
–연수(40)",-
DSC2,특별과정,"⑥ 노인스포츠지도사 자격을 가지고 보유한 자격 종목이 아닌
다른 종목(문화체육관광부 ‘체육지도자 자격종목 신설⋅변경⋅폐지 등에 관한 고시’ 별표1 제5호의 비고에 따라 종목명이 같은 경우에도 다른 종목으로 취급함)의 자격을 취득하려는 사람
*필기시험 1과목(특수체육론) 20분 실시","필기1과목
(특수체육론)
–실기–구술
–연수(40)",-
DSC2,추가취득,"⑦ 2급 장애인스포츠지도사 자격을 가지고 보유한
자격 종목이 아닌 다른 종목의 자격을 취득하려는 사람
*스포츠윤리교육 : 스포츠윤리센터의 체육지도자 연수과정(3시간)","-실기–구술
–스포츠윤리교육",-
